número de nodos;total de operações
 1; 49
 2; 176
 3; 429
 4; 838
 5; 1417
 6; 2194
 7; 3241
 8; 4596
 9; 6259
 10; 8280
 11; 10699
 12; 13518
 13; 16777
 14; 20564
 15; 24881
 16; 29748
 17; 35195
 18; 41262
 19; 48007
 20; 55440
 21; 63593
 22; 72496
 23; 82159
 24; 92652
 25; 104015
 26; 116316
 27; 129607
 28; 143936
 29; 159285
 30; 175694
 31; 193163
 32; 211722
 33; 231411
 34; 252318
 35; 274515
 36; 297922
 37; 322659
 38; 348696
 39; 376091
 40; 404944
 41; 435227
 42; 466990
 43; 500303
 44; 535116
 45; 571539
 46; 609592
 47; 649235
 48; 690578
 49; 733641
 50; 778444
 51; 825067
 52; 873540
 53; 923883
 54; 976074
 55; 1030175
 56; 1086236
 57; 1144307
 58; 1204466
 59; 1266695
 60; 1331074
 61; 1397643
 62; 1466340
 63; 1537315
 64; 1610600
 65; 1686105
 66; 1763950
 67; 1844155
 68; 1926840
 69; 2011975
 70; 2099590
 71; 2189675
 72; 2282290
 73; 2377425
 74; 2475188
 75; 2575561
 76; 2678544
 77; 2784147
 78; 2892530
 79; 3003713
 80; 3117636
 81; 3234349
 82; 3353952
 83; 3476535
 84; 3602008
 85; 3730401
 86; 3861814
 87; 3996307
 88; 4133950
 89; 4274633
 90; 4418454
 91; 4565385
 92; 4715566
 93; 4868957
 94; 5025578
 95; 5185559
 96; 5348970
 97; 5515721
 98; 5685892
 99; 5859563
 100; 6036744
 101; 6217495
 102; 6401746
 103; 6589605
 104; 6781074
 105; 6976243
 106; 7175062
 107; 7377581
 108; 7583920
 109; 7794069
 110; 8008038
 111; 8225897
 112; 8447726
 113; 8673535
 114; 8903324
 115; 9137133
 116; 9375072
 117; 9617061
 118; 9863140
 119; 10113419
 120; 10367846
 121; 10626443
 122; 10889330
 123; 11156537
 124; 11428014
 125; 11703901
 126; 11984158
 127; 12268795
 128; 12557952
 129; 12851639
 130; 13149856
 131; 13452693
 132; 13760210
 133; 14072395
 134; 14389270
 135; 14710875
 136; 15037190
 137; 15368305
 138; 15704280
 139; 16045115
 140; 16390810
 141; 16741475
 142; 17097130
 143; 17457775
 144; 17823420
 145; 18194125
 146; 18569898
 147; 18950871
 148; 19337044
 149; 19728367
 150; 20124910
 151; 20526813
 152; 20933956
 153; 21346489
 154; 21764422
 155; 22187855
 156; 22616688
 157; 23051011
 158; 23490814
 159; 23936237
 160; 24387360
 161; 24844071
 162; 25306522
 163; 25774663
 164; 26248524
 165; 26728165
 166; 27213656
 167; 27704887
 168; 28201928
 169; 28704899
 170; 29213808
 171; 29728677
 172; 30249586
 173; 30776505
 174; 31309434
 175; 31848593
 176; 32394022
 177; 32945641
 178; 33503450
 179; 34067549
 180; 34637848
 181; 35214517
 182; 35797576
 183; 36387115
 184; 36983054
 185; 37585453
 186; 38194352
 187; 38809671
 188; 39431560
 189; 40060039
 190; 40695168
 191; 41336997
 192; 41985516
 193; 42640695
 194; 43302644
 195; 43971473
 196; 44647102
 197; 45329641
 198; 46019050
 199; 46715429
 200; 47418858
 201; 48129267
 202; 48846776
 203; 49571385
 204; 50303074
 205; 51041883
 206; 51787982
 207; 52541401
 208; 53302060
 209; 54070109
 210; 54845418
 211; 55628037
 212; 56418036
 213; 57215545
 214; 58020534
 215; 58833171
 216; 59653388
 217; 60481155
 218; 61316592
 219; 62159539
 220; 63010146
 221; 63868583
 222; 64734850
 223; 65608967
 224; 66490964
 225; 67380831
 226; 68278668
 227; 69184425
 228; 70098172
 229; 71019819
 230; 71949456
 231; 72887231
 232; 73833146
 233; 74787251
 234; 75749556
 235; 76720121
 236; 77698906
 237; 78686031
 238; 79681486
 239; 80685411
 240; 81697656
 241; 82718401
 242; 83747686
 243; 84785501
 244; 85831846
 245; 86886711
 246; 87950326
 247; 89022541
 248; 90103436
 249; 91193031
 250; 92291336
 251; 93398409
 252; 94514322
 253; 95639085
 254; 96772788
 255; 97915431
 256; 99066994
 257; 100227547
 258; 101397040
 259; 102575603
 260; 103763306
 261; 104960109
 262; 106166022
 263; 107381155
 264; 108605498
 265; 109839281
 266; 111082464
 267; 112334837
 268; 113596570
 269; 114867673
 270; 116148226
 271; 117438309
 272; 118738102
 273; 120047445
 274; 121366298
 275; 122694771
 276; 124032974
 277; 125380857
 278; 126738390
 279; 128105613
 280; 129482546
 281; 130869349
 282; 132266062
 283; 133672705
 284; 135089228
 285; 136515731
 286; 137952194
 287; 139398827
 288; 140855510
 289; 142322403
 290; 143799466
 291; 145286739
 292; 146784202
 293; 148291875
 294; 149809828
 295; 151338041
 296; 152876664
 297; 154425647
 298; 155985070
 299; 157554813
 300; 159135216
 301; 160726189
 302; 162327762
 303; 163940205
 304; 165563348
 305; 167197271
 306; 168841924
 307; 170497327
 308; 172163520
 309; 173840563
 310; 175528476
 311; 177227239
 312; 178937012
 313; 180657825
 314; 182389748
 315; 184132631
 316; 185886544
 317; 187651677
 318; 189427920
 319; 191215343
 320; 193013886
 321; 194823769
 322; 196645052
 323; 198477645
 324; 200321708
 325; 202177199
 326; 204044160
 327; 205922601
 328; 207812512
 329; 209713803
 330; 211626744
 331; 213551385
 332; 215487666
 333; 217435517
 334; 219395028
 335; 221366299
 336; 223349310
 337; 225343991
 338; 227350372
 339; 229368623
 340; 231398874
 341; 233441035
 342; 235495176
 343; 237561247
 344; 239639398
 345; 241729489
 346; 243831740
 347; 245946201
 348; 248072832
 349; 250211643
 350; 252362684
 351; 254526025
 352; 256701746
 353; 258889897
 354; 261090488
 355; 263303509
 356; 265528960
 357; 267766931
 358; 270017312
 359; 272280053
 360; 274555454
 361; 276843665
 362; 279144526
 363; 281457947
 364; 283784048
 365; 286122829
 366; 288474380
 367; 290838681
 368; 293216032
 369; 295606383
 370; 298009684
 371; 300425895
 372; 302855086
 373; 305297127
 374; 307752198
 375; 310220249
 376; 312701440
 377; 315195641
 378; 317703062
 379; 320223863
 380; 322757912
 381; 325305481
 382; 327866450
 383; 330440879
 384; 333028708
 385; 335629877
 386; 338244676
 387; 340872945
 388; 343514724
 389; 346170193
 390; 348839462
 391; 351522501
 392; 354219250
 393; 356929679
 394; 359653828
 395; 362391687
 396; 365143276
 397; 367908635
 398; 370687924
 399; 373481131
 400; 376288268
 401; 379109445
 402; 381944552
 403; 384793679
 404; 387657116
 405; 390534603
 406; 393426110
 407; 396331897
 408; 399251944
 409; 402186131
 410; 405134648
 411; 408097515
 412; 411074882
 413; 414066809
 414; 417073376
 415; 420094283
 416; 423129730
 417; 426179767
 418; 429244374
 419; 432323601
 420; 435417418
 421; 438525815
 422; 441649012
 423; 444787279
 424; 447940186
 425; 451108063
 426; 454290880
 427; 457488517
 428; 460701114
 429; 463928671
 430; 467171328
 431; 470428985
 432; 473701772
 433; 476989549
 434; 480292264
 435; 483610179
 436; 486943374
 437; 490291689
 438; 493655234
 439; 497034179
 440; 500428574
 441; 503838319
 442; 507263414
 443; 510704069
 444; 514160134
 445; 517631839
 446; 521119224
 447; 524622299
 448; 528141074
 449; 531675529
 450; 535225734
 451; 538791707
 452; 542373690
 453; 545971563
 454; 549585346
 455; 553215009
 456; 556860452
 457; 560521825
 458; 564199218
 459; 567892681
 460; 571602374
 461; 575328357
 462; 579070700
 463; 582829333
 464; 586604366
 465; 590395649
 466; 594203332
 467; 598027355
 468; 601867808
 469; 605724681
 470; 609597984
 471; 613487817
 472; 617394100
 473; 621316653
 474; 625255786
 475; 629211529
 476; 633183922
 477; 637173045
 478; 641178908
 479; 645201321
 480; 649240624
 481; 653296817
 482; 657369880
 483; 661459893
 484; 665566766
 485; 669690459
 486; 673831182
 487; 677988975
 488; 682164018
 489; 686356201
 490; 690565584
 491; 694792187
 492; 699036080
 493; 703297233
 494; 707575656
 495; 711871619
 496; 716184772
 497; 720515405
 498; 724863468
 499; 729228821
 500; 733611474
 501; 738011827
 502; 742429760
 503; 746865313
 504; 751318476
 505; 755789179
 506; 760277542
 507; 764783825
 508; 769307928
 509; 773849971
 510; 778409794
 511; 782987547
 512; 787583130
 513; 792196663
 514; 796827976
 515; 801477139
 516; 806144242
 517; 810829625
 518; 815532988
 519; 820254461
 520; 824994084
 521; 829751767
 522; 834527810
 523; 839322043
 524; 844134446
 525; 848965329
 526; 853814722
 527; 858682525
 528; 863568758
 529; 868473711
 530; 873397314
 531; 878339577
 532; 883300600
 533; 888280233
 534; 893278636
 535; 898295609
 536; 903331152
 537; 908385325
 538; 913458288
 539; 918549961
 540; 923660454
 541; 928790007
 542; 933938790
 543; 939106813
 544; 944293796
 545; 949499669
 546; 954